Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,290",33.6
2023,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,978,14.3
2023,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,189,2.8
2023,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,477,7.0
2023,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,8,0.1
2023,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,269",33.3
2023,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,338,5.0
2023,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,629,9.2
2023,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,89,1.3
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,598",23.4
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,"1,092",16.0
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,"2,322",34.1
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,"1,095",16.1
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"3,827",56.2
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"3,092",45.4
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,"1,665",24.4
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,32,0.5
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,"1,353",19.9
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,293",48.3
2023,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"1,798",26.4
2023,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,25,0.4
2023,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,298,4.4
2023,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"35,593",522.2
2023,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,386",49.7
2023,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,530,7.8
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"5,093",74.7
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,141,2.1
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,13,0.2
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"18,169",266.6
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"11,458",168.1
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,76,1.1
2023,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"17,499",256.8
2023,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"49,879",731.9
2023,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"22,112",324.4
2023,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"6,868",100.8
